,Config,Scheduler,Iteration,total time,cpu time,write to cpu ratio,task scheduler delay,peak JVM,total shuffle read,total shuffle write,average response time,average response time (worst10%),average response time (worst80),average response time (worst95),average response time (worst100),average proportional slowdown,average proportional slowdown (worst10%),loop20_ average response time,loop20_ average response time (worst 10%),loop20_ average proportional slowdown,loop20_ average proportional slowdown (worst 10%),loop20_ average response time (worst 1%),loop20_ average proportional slowdown (worst 1%),user1_supersmall_ average response time,user1_supersmall_ average proportional slowdown (worst 10%),user1_supersmall_ average response time (worst 10%),user1_supersmall_ average proportional slowdown,user2_supersmall_ average response time,user2_supersmall_ average proportional slowdown (worst 10%),user2_supersmall_ average response time (worst 10%),user2_supersmall_ average proportional slowdown,user3_supersmall_ average response time,user3_supersmall_ average proportional slowdown (worst 10%),user3_supersmall_ average response time (worst 10%),user3_supersmall_ average proportional slowdown,user4_supersmall_ average response time,user4_supersmall_ average proportional slowdown (worst 10%),user4_supersmall_ average response time (worst 10%),user4_supersmall_ average proportional slowdown,loop20_ DVR,loop20_ violation count,loop20_ DSR,loop20_ slack count,loop100_ DVR,loop100_ violation count,loop100_ DSR,loop100_ slack count,loop1000_ DVR,loop1000_ violation count,loop1000_ DSR,loop1000_ slack count,user1_supersmall_ DVR,user1_supersmall_ violation count,user1_supersmall_ DSR,user1_supersmall_ slack count,user2_supersmall_ DVR,user2_supersmall_ violation count,user2_supersmall_ DSR,user2_supersmall_ slack count,user3_supersmall_ DVR,user3_supersmall_ violation count,user3_supersmall_ DSR,user3_supersmall_ slack count,user4_supersmall_ DVR,user4_supersmall_ violation count,user4_supersmall_ DSR,user4_supersmall_ slack count,best user DVR,worst user DVR ,best user DSR,worst user DSR,Total DVR,Total violations,Total DSR,Total gains
3,4_super_small_users,CUSTOM_FAIR,0,43.31599998474121,0,0,0,0.703252944,0.000241664,0.000241664,29.505549981196722,41.30608330170313,26.791729144752026,39.94000001748403,41.62333325544993,34.63092720797737,48.48131842922904,29.505549981196722,41.30608330170313,34.63092720797737,48.48131842922904,41.94399976730347,49.23004667523881,25.523766644795735,46.8294210090697,39.89866669972738,29.95747258778842,27.2021666208903,49.1525819976938,41.87799986203512,31.927425611373597,31.536833333969117,48.417057882825354,41.2513333161672,37.0150625985553,33.75943332513173,48.0532080914493,40.941333293914795,39.62374803419218,,0,0.0,120,,0,0.0,120,,0,0.0,120,,0,0.0,150,,0,0.0,180,,0,0.0,210,,0,0.0,240,,,0.0,0.0,,0,0.0,240
4,4_super_small_users,CUSTOM_FAIR,1,43.306999921798706,0,0,0,0.67281048,0.000241664,0.000241664,28.872049989302955,41.23024996121725,26.024447910487652,39.81988885667589,41.590166648228966,33.88738261655276,48.392312161053106,28.872049989302955,41.23024996121725,33.88738261655276,48.392312161053106,41.865999937057495,49.13849757870598,25.600266671180727,47.09859157392117,40.128000020980835,30.047261351151082,26.517466656366985,48.55751170425535,41.37099997202555,31.12378715536031,30.647066648801168,49.07198746999105,41.80933332443237,35.970735503287756,32.723399980862936,47.95461650558854,40.857333262761436,38.40774645641189,0.5627196666189975,54,-0.250019749854189,66,0.5627196666189975,54,-0.250019749854189,66,0.5627196666189975,54,-0.250019749854189,66,0.6610029722005955,67,-0.2726498346040102,83,0.6931792021703646,82,-0.2877307557780749,98,0.6092353725094065,96,-0.26669600083502887,114,0.5627196666189977,108,-0.25001974985418896,132,0.5627196666189977,0.6931792021703646,-0.25001974985418896,-0.2877307557780749,0.5627196666189977,108,-0.25001974985418896,132
5,4_super_small_users,CUSTOM_FAIR,2,43.38900017738342,0,0,0,0.687145936,0.000241664,0.000241664,28.961416659752526,41.442249953746796,26.128427078326542,39.78966665267944,41.80449998378754,33.99227307482691,48.6411384433648,28.961416659752526,41.442249953746796,33.99227307482691,48.6411384433648,42.067999839782715,49.375586666411635,25.173066663742066,46.58998439382873,39.694666703542076,29.54585289171604,26.79486663341522,48.60915488480402,41.41499996185303,31.449373982881717,30.474899991353354,48.717136114415986,41.50699996948242,35.76866196168234,33.40283335049947,49.30712042466762,42.00966660181681,39.20520346302754,0.4834712935887211,56,-0.25856071129612873,64,0.4834712935887211,56,-0.25856071129612873,64,0.4834712935887211,56,-0.25856071129612873,64,0.5039919401036587,72,-0.2784591836705612,78,0.5389166008362662,87,-0.286595980492673,93,0.5121249756421452,100,-0.2771147952762319,110,0.48347129358872115,112,-0.2585607112961288,128,0.48347129358872115,0.5389166008362662,-0.2585607112961288,-0.286595980492673,0.48347129358872115,112,-0.2585607112961288,128
6,4_super_small_users,CUSTOM_RANDOM,0,51.93900012969971,0,0,0,0.584502872,0.000241664,0.000241664,31.372024991114934,48.794083297252655,27.31454166273276,46.88094442420535,49.76499994595846,36.82162557642598,57.27005081837165,31.372024991114934,48.794083297252655,36.82162557642598,57.27005081837165,50.812999963760376,59.63967131896758,32.902100006739296,57.92370890974066,49.35099999109904,38.617488270820786,26.702066651980083,57.314553917480374,48.831999937693276,31.340453816878032,33.157933290799456,57.599373919676545,49.074666579564415,38.91776207840312,32.7260000149409,54.55438184066558,46.48033332824707,38.410798139601994,0.6510272080263299,66,-0.35253995909781427,54,0.6510272080263299,66,-0.35253995909781427,54,0.6510272080263299,66,-0.35253995909781427,54,0.703718559332016,87,-0.3449688130318758,63,0.7339316408388672,100,-0.3558025283241104,80,0.6903742947560559,117,-0.35531318406446555,93,0.6510272080263299,132,-0.35253995909781427,108,0.6510272080263299,0.7339316408388672,-0.3449688130318758,-0.3558025283241104,0.6510272080263299,132,-0.35253995909781427,108
7,4_super_small_users,CUSTOM_RANDOM,1,52.305999994277954,0,0,0,0.691333216,0.000241664,0.000241664,32.60560832818349,49.42783331871033,28.731510410706203,47.41622222794427,50.1593333085378,38.269493342938375,58.01388887172573,32.60560832818349,49.42783331871033,38.269493342938375,58.01388887172573,50.80399990081787,59.62910786480971,32.24416665236155,57.78169006995379,49.229999939600624,37.84526602389853,32.337900042533875,59.27151796030514,50.49933330217997,37.955281740063235,32.46416664918264,57.625586997735105,49.09700012207031,38.103481982608734,33.376199968655904,55.5657276152072,47.34199992815653,39.173943625182986,0.7426680011180407,71,-0.3668226368372655,49,0.7426680011180407,71,-0.3668226368372655,49,0.7426680011180407,71,-0.3668226368372655,49,0.8397330410902141,91,-0.3860600054566987,59,0.8683050238193648,109,-0.3859556211783923,71,0.8054864773732081,126,-0.38193773866537206,84,0.7426680011180407,142,-0.3668226368372655,98,0.7426680011180407,0.8683050238193648,-0.3668226368372655,-0.3860600054566987,0.7426680011180407,142,-0.3668226368372655,98
8,4_super_small_users,CUSTOM_RANDOM,2,52.32699990272522,0,0,0,0.693661968,0.000241664,0.000241664,32.71809999148051,49.29508332411448,28.91511457413435,47.298166659143234,49.825666666030884,38.40152581159684,57.85807901891371,32.71809999148051,49.29508332411448,38.40152581159684,57.85807901891371,50.83799982070923,59.669013874071865,31.802166652679443,55.18114249657764,47.014333407084145,37.32648668154866,30.6582000096639,58.33137716299305,49.69833334287008,35.983802828244016,33.268199976285295,58.49765257469738,49.839999993642174,39.047183070757384,35.14383332729339,57.4917839912928,48.98299996058146,41.248630665837325,0.5968578740476077,75,-0.330474008851555,45,0.5968578740476077,75,-0.330474008851555,45,0.5968578740476077,75,-0.330474008851555,45,0.6959106211969409,93,-0.33559079682544857,57,0.6920719640079954,113,-0.34487229963257476,67,0.6470398017877704,131,-0.336106885579816,79,0.5968578740476077,150,-0.330474008851555,90,0.5968578740476077,0.6959106211969409,-0.330474008851555,-0.34487229963257476,0.5968578740476077,150,-0.330474008851555,90
9,4_super_small_users,TRUE_FIFO,0,50.46599984169006,0,0,0,0.554204656,0.000241664,0.000241664,25.090283320347467,46.22383324305216,20.398020833730698,42.67799994680617,47.4033332268397,29.44868934313083,54.25332540264339,25.090283320347467,46.22383324305216,29.44868934313083,54.25332540264339,48.15399980545044,56.518779114378454,10.090766676266988,27.197183204555362,23.17200009028117,11.843622859468294,20.48760000864665,45.46009384223927,38.73199995358785,24.046478883388083,30.70743333498637,50.47848200387612,43.00766666730245,36.0415884213455,39.07533326148987,56.314162618490826,47.979666550954185,45.86306720832143,0.41687615313764365,48,-0.44207476826672193,72,0.41687615313764365,48,-0.44207476826672193,72,0.41687615313764365,48,-0.44207476826672193,72,0.4215756876802375,50,-0.49084771127716564,100,0.4570961679054855,61,-0.4848681813275525,119,0.4287495416236817,75,-0.4569732679023839,135,0.41687615313764365,96,-0.44207476826672193,144,0.41687615313764365,0.4570961679054855,-0.44207476826672193,-0.49084771127716564,0.41687615313764365,96,-0.44207476826672193,144
10,4_super_small_users,TRUE_FIFO,1,50.621999979019165,0,0,0,0.604820896,0.000241664,0.000241664,25.118774990240734,46.34741667906443,20.41070831815402,42.746388885709976,47.56500005722046,29.4821302702356,54.398376383878436,25.118774990240734,46.34741667906443,29.4821302702356,54.398376383878436,48.32599997520447,56.72065724789257,8.511766648292541,17.72378727863652,15.100666761398315,9.990336441657917,20.72493330637614,36.623630538606115,31.203333218892414,24.325039091990778,31.46880002816518,52.75665109332925,44.94866673151652,36.93521130066335,39.76959997812907,56.49295780393812,48.132000048955284,46.677934246630365,0.33725877309936575,53,-0.4499197859332522,67,0.33725877309936575,53,-0.4499197859332522,67,0.33725877309936575,53,-0.4499197859332522,67,0.3293362556093877,55,-0.5059532617780872,95,0.36979993283115997,65,-0.4861625546824208,115,0.36056658386195056,81,-0.46284958814832483,129,0.33725877309936564,106,-0.4499197859332522,134,0.3293362556093877,0.36979993283115997,-0.4499197859332522,-0.5059532617780872,0.33725877309936564,106,-0.4499197859332522,134
11,4_super_small_users,TRUE_FIFO,2,50.68500018119812,0,0,0,0.603115912,0.000241664,0.000241664,25.239399991432826,46.5753333568573,20.492572906116646,43.05200000603994,47.75083331267039,29.62370891013243,54.6658842216635,25.239399991432826,46.5753333568573,29.62370891013243,54.6658842216635,48.51900005340576,56.94718316127437,9.480166641871135,24.05438176902807,20.494333267211914,11.126956152430909,20.950066645940144,45.16040691187684,38.47666668891907,24.589280100868717,30.725700012842815,53.039906077168546,45.1899999777476,36.06302818408781,39.80166666507721,56.45031296591244,48.0956666469574,46.71557120314227,0.4282312523037104,49,-0.45836499716949713,71,0.4282312523037104,49,-0.45836499716949713,71,0.4282312523037104,49,-0.45836499716949713,71,0.42588909088333216,51,-0.5106750127385955,99,0.4711910481886974,63,-0.5068510242216312,117,0.458874407906011,76,-0.47715444123284684,134,0.4282312523037104,98,-0.45836499716949725,142,0.42588909088333216,0.4711910481886974,-0.45836499716949725,-0.5106750127385955,0.4282312523037104,98,-0.45836499716949725,142
12,4_super_small_users,CUSTOM_CLUSTERFAIR,0,51.133999824523926,0,0,0,0.611738208,0.000241664,0.000241664,43.460116656621295,49.875833332538605,41.909729155401386,49.521222207281326,50.08300002415975,51.009526592278526,58.53971048420024,43.460116656621295,49.875833332538605,51.009526592278526,58.53971048420024,50.490999937057495,59.2617370153257,35.417466672261554,59.150626028834004,50.39633337656657,41.56979656368728,43.32389998435974,58.06885759968526,49.474666674931846,50.84964786896683,47.64033331076304,57.74334889249249,49.1973332564036,55.91588416756225,47.45876665910085,57.70148665692326,49.16166663169861,55.70277776889771,0.8054580553136702,106,-0.5042123717596185,14,0.8054580553136702,106,-0.5042123717596185,14,0.8054580553136702,106,-0.5042123717596185,14,0.8392037737461815,128,-0.4877578479890063,22,0.9026926435518383,154,-0.4991323061548307,26,0.8574700343327119,183,-0.5022741860336596,27,0.8054580553136702,212,-0.5042123717596184,28,0.8054580553136702,0.9026926435518383,-0.4877578479890063,-0.5042123717596184,0.8054580553136702,212,-0.5042123717596184,28
